radiation,city,state,extra,county,latitude,longitude,postal_code,state_code
1385.0,Öhningen,Baden-Württemberg,Freiburg Region,Konstanz,47.6619,8.8867,78337,BW
1383.0,Hohentengen am Hochrhein,Baden-Württemberg,Freiburg Region,Landkreis Waldshut,47.57,8.4325,79801,BW
1382.0,Stetten,Baden-Württemberg,Tübingen Region,Bodenseekreis,47.6901,9.2986,88719,BW
1375.0,Horgenzell,Baden-Württemberg,Tübingen Region,Landkreis Ravensburg,47.8,9.5,88263,BW
1373.0,Illmensee,Baden-Württemberg,Tübingen Region,Landkreis Sigmaringen,47.8623,9.3724,88636,BW
1369.0,Weißensberg,Bayern,Swabia,Landkreis Lindau,47.5813,9.7259,88138,BY
1363.0,Efringen-Kirchen,Baden-Württemberg,Freiburg Region,Landkreis Lörrach,47.65,7.5667,79588,BW
1361.0,Penzing,Bayern,Upper Bavaria,Landkreis Landsberg am Lech,48.0748,10.9274,86929,BY
1358.0,Steinhausen an der Rottum,Baden-Württemberg,Tübingen Region,Landkreis Biberach,48.0167,9.9667,88416,BW
1358.0,Neuenburg am Rhein,Baden-Württemberg,Freiburg Region,Landkreis Breisgau-Hochschwarzwald,47.8143,7.5601,79395,BW
1358.0,Türkenfeld,Bayern,Upper Bavaria,Fürstenfeldbruck,48.1053,11.083,82299,BY
1358.0,Buchloe,Bayern,Swabia,Landkreis Ostallgäu,48.0372,10.7255,86807,BY
1356.0,Buxheim,Bayern,Swabia,Landkreis Unterallgäu,48.0,10.1333,87740,BY
1356.0,Bergkirchen,Bayern,Upper Bavaria,Landkreis Dachau,48.2567,11.3649,85232,BY
1356.0,München,Bayern,Upper Bavaria,Kreisfreie Stadt München,48.1616,11.4141,81245,BY
1356.0,Memmingen,Bayern,Swabia,Memmingen,47.9837,10.1853,87700,BY
1355.0,Inning am Ammersee,Bayern,Upper Bavaria,Starnberg,48.0764,11.1523,82266,BY
1352.0,Planegg,Bayern,Upper Bavaria,Landkreis München,48.1067,11.4248,82152,BY
1352.0,Langerringen,Bayern,Swabia,Landkreis Augsburg,48.1459,10.7589,86853,BY
1351.0,Kellmünz,Bayern,Swabia,Neu-Ulm,48.1216,10.1281,89293,BY
1350.0,Steindorf,Bayern,Swabia,Landkreis Aichach-Friedberg,48.2167,11.0,82297,BY
1349.0,Eching,Bayern,Upper Bavaria,Landkreis Freising,48.3,11.6167,85386,BY
1347.0,Balzheim,Baden-Württemberg,Tübingen Region,Alb-Donau-Kreis,48.1833,10.0833,88481,BW
1347.0,Waltenhausen,Bayern,Swabia,Landkreis Günzburg,48.1905,10.3646,86480,BY
1346.0,Raisting,Bayern,Upper Bavaria,Landkreis Weilheim-Schongau,47.9167,11.1,82399,BY
1344.0,Altusried,Bayern,Swabia,Landkreis Oberallgäu,47.8041,10.2143,87452,BY
1342.0,Oberding,Bayern,Upper Bavaria,Erding,48.3167,11.85,85445,BY
1341.0,Kaufbeuren,Bayern,Swabia,Kaufbeuren,47.8824,10.6219,87600,BY
1340.0,Sasbach am Kaiserstuhl,Baden-Württemberg,Freiburg Region,Emmendingen,48.1333,7.6167,79361,BW
1340.0,Augsburg,Bayern,Swabia,Augsburg,48.3109,10.9001,86179,BY
1339.0,Kleinblittersdorf,Saarland,,Regionalverband Saarbrücken,49.1578,7.0373,66271,SL
1339.0,Pliening,Bayern,Upper Bavaria,Landkreis Ebersberg,48.1956,11.8007,85652,BY
1338.0,Icking,Bayern,Upper Bavaria,Landkreis Bad Tölz-Wolfratshausen,47.95,11.4333,82057,BY
1338.0,Jetzendorf,Bayern,Upper Bavaria,Landkreis Pfaffenhofen an der Ilm,48.4333,11.4167,85305,BY
1338.0,Gersheim,Saarland,,Saarpfalz-Kreis,49.15,7.2,66453,SL
1337.0,Glött,Bayern,Swabia,Landkreis Dillingen an der Donau,48.5,10.4833,89353,BY
1336.0,Blumberg,Baden-Württemberg,Freiburg Region,Schwarzwald-Baar-Kreis,47.8406,8.5333,78176,BW
1336.0,Gachenbach,Bayern,Upper Bavaria,Neuburg-Schrobenhausen,48.5,11.2333,86565,BY
1336.0,Emmingen-Liptingen,Baden-Württemberg,Freiburg Region,Landkreis Tuttlingen,47.9333,8.8833,78576,BW
1336.0,Holzheim,Bayern,Swabia,Landkreis Donau-Ries,48.6112,10.9484,86684,BY
1335.0,Kehl,Baden-Württemberg,Freiburg Region,Ortenaukreis,48.573,7.8152,77694,BW
1334.0,Rattenkirchen,Bayern,Upper Bavaria,Landkreis Mühldorf am Inn,48.2421,12.3151,84431,BY
1334.0,Hirrlingen,Baden-Württemberg,Tübingen Region,Tübingen,48.4125,8.8874,72145,BW
1334.0,Überherrn,Saarland,,Saarlouis,49.2419,6.6984,66802,SL
1334.0,Rangendingen,Baden-Württemberg,Tübingen Region,Zollernalbkreis,48.3817,8.8894,72414,BW
1333.0,Freiburg im Breisgau,Baden-Württemberg,Freiburg Region,Freiburg im Breisgau,47.9809,7.7957,79111,BW
1331.0,Tacherting,Bayern,Upper Bavaria,Landkreis Traunstein,48.0783,12.5701,83342,BY
