postal_code,city,state,state_code,extra,county,latitude,longitude,radiation
78337,Öhningen,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6619,8.8867,1385.0
78467,Konstanz,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6744,9.1649,1385.0
78465,Konstanz,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6667,9.1833,1384.0
78464,Konstanz,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6723,9.1834,1384.0
78462,Konstanz,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6613,9.1752,1384.0
78343,Gaienhofen,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6833,8.9833,1384.0
78479,Reichenau,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.6889,9.0635,1384.0
78476,Allensbach,Baden-Württemberg,BW,Freiburg Region,Konstanz,47.7154,9.0714,1383.0
79801,Hohentengen am Hochrhein,Baden-Württemberg,BW,Freiburg Region,Landkreis Waldshut,47.57,8.4325,1383.0
88719,Stetten,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.6901,9.2986,1382.0
88718,Daisendorf,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.7126,9.2678,1382.0
79807,Lottstetten,Baden-Württemberg,BW,Freiburg Region,Landkreis Waldshut,47.6333,8.5667,1381.0
88709,Meersburg,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.6942,9.2711,1381.0
88690,Uhldingen-Mühlhofen,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.7333,9.25,1381.0
88086,Immenstaad am Bodensee,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.665,9.359,1380.0
88709,Hagnau am Bodensee,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.6667,9.3167,1380.0
88677,Markdorf,Baden-Württemberg,BW,Tübingen Region,Bodenseekreis,47.7192,9.3903,1380.0
